PE,
cm^-1,Intensity
500,244
503,234
506,260
509,252
512,238
515,248
518,256
521,236
524,254
527,232
530,250
533,252
536,258
539,258
542,230
545,260
548,246
551,264
554,246
557,248
560,246
563,264
566,256
569,252
572,256
575,248
578,254
581,246
584,246
587,244
590,262
593,252
596,238
599,260
602,246
605,252
608,248
611,242
614,254
617,248
620,250
623,252
626,244
629,248
632,248
635,258
638,258
640,262
643,254
646,254
649,264
652,252
655,246
658,262
661,266
664,268
667,244
670,256
673,250
676,270
679,264
682,252
685,254
688,272
691,280
694,268
697,256
700,280
703,246
706,264
709,274
712,266
714,266
717,282
720,268
723,250
726,278
729,280
732,290
735,254
738,266
741,272
744,280
747,254
750,276
753,282
756,296
759,264
762,272
764,284
767,272
770,260
773,280
776,272
779,298
782,284
785,270
788,268
791,290
794,284
797,276
800,274
802,290
805,262
808,266
811,270
814,290
817,296
820,290
823,274
826,262
829,292
832,290
834,300
837,314
840,294
843,296
846,314
849,300
852,282
855,298
858,308
861,292
863,310
866,308
869,304
872,308
875,284
878,306
881,294
884,320
887,320
889,326
892,322
895,310
898,298
901,304
904,292
907,300
910,288
913,288
915,292
918,292
921,322
924,298
927,332
930,306
933,330
936,340
938,326
941,318
944,298
947,326
950,294
953,316
956,318
958,324
961,322
964,314
967,302
970,302
973,292
976,296
978,298
981,306
984,294
987,300
990,298
993,300
996,288
998,304
1001,290
1004,300
1007,312
1010,300
1013,292
1016,308
1018,316
1021,306
1024,308
1027,326
1030,308
1033,308
1035,314
1038,324
1041,324
1044,326
1047,370
1050,392
1052,458
1055,476
1058,480
1061,550
1064,552
1067,482
1069,380
1072,354
1075,370
1078,344
1081,346
1083,328
1086,340
1089,336
1092,350
1095,342
1098,352
1100,378
1103,374
1106,354
1109,340
1112,346
1114,320
1117,346
1120,348
1123,378
1126,426
1128,490
1131,482
1134,416
1137,376
1140,346
1142,308
1145,328
1148,310
1151,292
1154,324
1156,282
1159,320
1162,328
1165,332
1168,292
1170,324
1173,326
1176,334
1179,318
1181,326
1184,316
1187,346
1190,304
1193,308
1195,290
1198,308
1201,290
1204,308
1206,296
1209,298
1212,280
1215,318
1218,298
1220,306
1223,300
1226,298
1229,304
1231,294
1234,306
1237,310
1240,318
1242,312
1245,340
1248,328
1251,330
1253,326
1256,350
1259,314
1262,324
1265,350
1267,338
1270,340
1273,368
1276,358
1278,350
1281,388
1284,388
1287,396
1289,396
1292,480
1295,634
1298,704
1300,532
1303,434
1306,404
1308,390
1311,364
1314,360
1317,352
1319,322
1322,350
1325,336
1328,332
1330,340
1333,330
1336,324
1339,354
1341,316
1344,354
1347,314
1349,342
1352,344
1355,346
1358,326
1360,338
1363,366
1366,348
1368,358
1371,352
1374,374
1377,346
1379,350
1382,350
1385,344
1387,352
1390,330
1393,356
1396,348
1398,356
1401,344
1404,348
1406,378
1409,394
1412,378
1415,406
1417,390
1420,428
1423,448
1425,470
1428,490
1431,510
1433,586
1436,642
1439,732
1442,804
1444,822
1447,722
1450,656
1452,626
1455,596
1458,612
1460,644
1463,632
1466,594
1468,616
1471,612
1474,558
1476,524
1479,490
1482,460
1484,434
1487,390
1490,396
1493,356
1495,352
1498,354
1501,330
1503,336
1506,320
1509,332
1511,344
1514,318
1517,348
1519,330
1522,322
1525,336
1527,312
1530,332
1533,336
1535,334
1538,320
1540,308
1543,342
1546,314
1548,332
1551,330
1554,332
1556,324
1559,318
1562,340
1564,318
1567,344
1570,338
1572,316
1575,322
1578,328
1580,336
1583,312
1586,320
1588,338
1591,308
1593,326
1596,326
1599,332
1601,316
1604,332
1607,334
1609,354
1612,320
1615,352
1617,334
1620,314
1622,324
1625,320
1628,334
1630,302
1633,326
1636,350
1638,294
1641,316
1643,332
1646,314
1649,312
1651,314
1654,324
1657,318
1659,326
1662,316
1664,318
1667,306
1670,290
1672,306
1675,300
1677,282
1680,284
1683,290
1685,284
1688,292
1690,286
1693,278
1696,282
1698,288
1701,282
1703,284
1706,268
1709,296
1711,294
1714,298
1716,286
1719,292
1722,292
1724,272
1727,294
1729,286
1732,272
1735,294
1737,276
1740,282
1742,282
1745,302
1748,256
1750,278
1753,286
1755,288
1758,286
1760,286
1763,276
1766,270
1768,280
1771,280
1773,272
1776,274
1779,282
1781,268
1784,256
1786,266
1789,270
1791,262
1794,254
1797,276
1799,270
