PMMA,
cm^-1,Intensity
500,61
503,64
506,68
509,58
512,64
515,61
518,60
521,62
524,62
527,59
530,59
533,56
536,63
539,68
542,67
545,64
548,69
551,68
554,68
557,61
560,60
563,62
566,73
569,52
572,64
575,64
578,74
581,60
584,71
587,63
590,64
593,66
596,70
599,66
602,60
605,52
608,60
611,63
614,60
617,60
620,61
623,62
626,59
629,57
632,59
635,56
638,51
640,59
643,53
646,53
649,52
652,62
655,58
658,63
661,61
664,62
667,53
670,59
673,60
676,56
679,62
682,59
685,60
688,55
691,66
694,56
697,56
700,58
703,54
706,51
709,55
712,59
714,50
717,60
720,52
723,57
726,56
729,58
732,54
735,63
738,59
741,62
744,56
747,52
750,63
753,50
756,56
759,56
762,56
764,59
767,61
770,57
773,64
776,66
779,58
782,54
785,62
788,54
791,50
794,61
797,62
800,65
802,69
805,76
808,77
811,66
814,64
817,58
820,58
823,56
826,60
829,52
832,64
834,61
837,58
840,56
843,60
846,61
849,59
852,61
855,62
858,50
861,51
863,59
866,51
869,60
872,59
875,60
878,58
881,55
884,52
887,54
889,58
892,58
895,52
898,54
901,57
904,58
907,58
910,58
913,54
915,59
918,60
921,56
924,52
927,54
930,62
933,50
936,59
938,48
941,60
944,58
947,60
950,59
953,66
956,62
958,59
961,63
964,68
967,60
970,56
973,58
976,56
978,56
981,58
984,52
987,58
990,60
993,60
996,71
998,58
1001,54
1004,52
1007,52
1010,50
1013,53
1016,58
1018,49
1021,58
1024,48
1027,53
1030,50
1033,50
1035,55
1038,52
1041,53
1044,46
1047,53
1050,57
1052,51
1055,53
1058,50
1061,50
1064,56
1067,53
1069,56
1072,52
1075,49
1078,52
1081,52
1083,52
1086,52
1089,51
1092,52
1095,48
1098,54
1100,60
1103,50
1106,55
1109,53
1112,50
1114,54
1117,60
1120,57
1123,59
1126,62
1128,55
1131,48
1134,48
1137,58
1140,56
1142,60
1145,62
1148,54
1151,54
1154,58
1156,54
1159,56
1162,55
1165,64
1168,66
1170,60
1173,55
1176,56
1179,58
1181,60
1184,52
1187,56
1190,59
1193,54
1195,54
1198,58
1201,56
1204,42
1206,56
1209,50
1212,50
1215,50
1218,50
1220,62
1223,48
1226,54
1229,54
1231,54
1234,57
1237,58
1240,51
1242,52
1245,55
1248,57
1251,56
1253,59
1256,58
1259,54
1262,46
1265,52
1267,52
1270,52
1273,53
1276,55
1278,53
1281,53
1284,59
1287,53
1289,54
1292,56
1295,56
1298,58
1300,50
1303,53
1306,53
1308,50
1311,55
1314,57
1317,53
1319,48
1322,55
1325,50
1328,62
1330,56
1333,46
1336,56
1339,55
1341,52
1344,50
1347,55
1349,58
1352,50
1355,50
1358,56
1360,59
1363,62
1366,50
1368,56
1371,50
1374,55
1377,61
1379,55
1382,54
1385,57
1387,54
1390,56
1393,54
1396,52
1398,48
1401,54
1404,53
1406,53
1409,51
1412,54
1415,52
1417,55
1420,66
1423,59
1425,46
1428,50
1431,52
1433,61
1436,64
1439,58
1442,64
1444,64
1447,72
1450,62
1452,63
1455,64
1458,70
1460,65
1463,65
1466,65
1468,60
1471,60
1474,57
1476,62
1479,54
1482,58
1484,55
1487,55
1490,60
1493,52
1495,56
1498,56
1501,56
1503,61
1506,51
1509,44
1511,54
1514,56
1517,53
1519,58
1522,47
1525,59
1527,48
1530,53
1533,44
1535,54
1538,52
1540,51
1543,49
1546,50
1548,56
1551,58
1554,58
1556,46
1559,44
1562,44
1564,54
1567,52
1570,53
1572,56
1575,52
1578,52
1580,49
1583,53
1586,51
1588,46
1591,48
1593,52
1596,58
1599,55
1601,50
1604,54
1607,54
1609,54
1612,62
1615,56
1617,51
1620,54
1622,53
1625,50
1628,45
1630,56
1633,48
1636,51
1638,48
1641,54
1643,52
1646,52
1649,55
1651,51
1654,54
1657,55
1659,50
1662,44
1664,56
1667,52
1670,53
1672,55
1675,52
1677,51
1680,50
1683,57
1685,50
1688,55
1690,44
1693,52
1696,54
1698,55
1701,53
1703,56
1706,54
1709,50
1711,55
1714,54
1716,57
1719,54
1722,55
1724,58
1727,54
1729,61
1732,59
1735,61
1737,64
1740,52
1742,54
1745,55
1748,48
1750,49
1753,50
1755,47
1758,46
1760,60
1763,52
1766,45
1768,52
1771,60
1773,50
1776,53
1779,58
1781,52
1784,53
1786,48
1789,52
1791,52
1794,54
1797,49
1799,50
